Title,Author,Length
The New York Dares,Carly Phillips,14 hrs and 17 mins
The New York Dares,Carly Phillips,14 hrs and 17 mins
Let It Snow,Beth Moran,9 hrs and 50 mins
Black Cherry Blues,James Lee Burke,12 hrs and 22 mins
The Masterpiece,Francine Rivers,15 hrs and 54 mins
Snow Falls,Gerri Hill,4 hrs and 58 mins
Counter to My Intelligence,Lani Lynn Vale,7 hrs and 52 mins
Before I Met You,Lisa Jewell,15 hrs and 14 mins
Far from the Madding Crowd,Thomas Hardy,13 hrs and 25 mins
Une place au soleil,Anna Jacobs,12 hrs and 34 mins
Infatuation,River Savage,11 hrs and 18 mins
Gai-Jin,James Clavell,50 hrs and 17 mins
P.S. It's Always Been You: Part 1,Lauren Blakely,2 hrs and 53 mins
Wolf's Bane,Auryn Hadley,14 hrs and 5 mins
Highway Don't Care,Lani Lynn Vale,8 hrs and 36 mins
Wildfire in His Arms,Johanna Lindsey,11 hrs and 2 mins
The Highlander's Secret Vow,Eliza Knight,7 hrs and 58 mins
Simply Love,Mary Balogh,10 hrs and 58 mins
Getting Schooled,Emma Chase,7 hrs and 13 mins
Mordacious,Sarah Lyons Fleming,17 hrs and 55 mins
Outfox,Sandra Brown,13 hrs and 59 mins
The Risk,Elle Kennedy,11 hrs and 38 mins
The Risk,Elle Kennedy,11 hrs and 38 mins
Visions of Heat,Nalini Singh,9 hrs and 42 mins
Hidden Riches,Nora Roberts,14 hrs and 23 mins
Secret Diaries of Miss Miranda Cheever,Julia Quinn,10 hrs and 17 mins
The Young and the Submissive,Shayla Black,11 hrs and 38 mins
Whiskey Beach,Nora Roberts,14 hrs and 54 mins
Fallen University: Complete Series: Books 1-3,Callie Rose,23 hrs and 35 mins
Blood Magick,Nora Roberts,11 hrs and 48 mins
Affliction,River Savage,11 hrs and 2 mins
The Negotiator,Dee Henderson,10 hrs and 37 mins
Pride and Prejudice,Jane Austen,13 hrs and 2 mins
Darkness Bound: A Reverse Harem Paranormal Romance,Sarah Piper,7 hrs and 58 mins
A Sticky Situation,Missy Johnson,6 hrs and 39 mins
Hope Harbor,Irene Hannon,9 hrs and 42 mins
Gone Too Deep,Katie Ruggle,11 hrs and 40 mins
Some Sort of Love,Melanie Harlow,7 hrs and 31 mins
Scarred,Emily McIntire,10 hrs and 38 mins
Fake Out,Eden Finley,6 hrs and 36 mins
L'attachement,Laurie Delarosbil,10 hrs and 19 mins
Takeover,Anna Zabo,7 hrs and 14 mins
Sentinel,Jennifer L. Armentrout,10 hrs and 9 mins
Sentinel,Jennifer L. Armentrout,10 hrs and 9 mins
Crossroads,Riley Hart,7 hrs and 23 mins
A Snowy Little Christmas,Fern Michaels,7 hrs and 48 mins
Troy,Stephen Fry,11 hrs and 1 min
Simply Series Box Set,Carly Phillips,30 hrs and 37 mins
Death Untold: A Reverse Harem Paranormal Romance,Sarah Piper,9 hrs and 7 mins
Playboy Pilot,Penelope Ward,7 hrs and 35 mins
The Apple Diary,Gerri Hill,9 hrs and 2 mins
Faking with Benefits,Lily Gold,13 hrs and 34 mins
High Noon,Nora Roberts,16 hrs and 34 mins
Shadow Kissed,Sarah Piper,9 hrs and 27 mins
Angels' Blood,Nalini Singh,10 hrs and 29 mins
Hallowed Games,C.N. Crawford,8 hrs and 41 mins
"Ask, Tell",E. J. Noyes,8 hrs and 29 mins
Shifting Gears,Riley Hart,6 hrs and 10 mins
The Maid of Fairbourne Hall,Julie Klassen,16 hrs and 35 mins
Finding My Pack,Lane Whitt,11 hrs and 15 mins
Darkness Rises,Dianne Duvall,11 hrs and 39 mins
The Cowboys of Copper Mountain,Katherine Garbera,13 hrs and 16 mins
Abyss,Bethany Adams,10 hrs and 39 mins
After,Anna Todd,16 hrs and 49 mins
After,Anna Todd,16 hrs and 49 mins
Lady Fortescue Steps Out,M. C. Beaton,4 hrs and 45 mins
Magic Tides & Magic Claims,Ilona Andrews,12 hrs and 21 mins
More Than Want You,Shayla Black,7 hrs and 49 mins
By a Thread,Lucy Score,14 hrs and 21 mins
A Winter by the Sea,Julie Klassen,15 hrs and 8 mins
Block Shot,Kennedy Ryan,14 hrs and 3 mins
Esther,Angela Hunt,10 hrs and 12 mins
Whispers: A Novel,Lisa Jackson,16 hrs and 9 mins
Barbarian Alien,Ruby Dixon,6 hrs and 27 mins
Funny Story,Emily Henry,11 hrs
The One Love Collection,Lauren Blakely,26 hrs and 6 mins
Wicked Designs,Lauren Smith,11 hrs and 1 min
Heartsong,A. E. Wasp,10 hrs and 12 mins
I've Got Your Number,Sophie Kinsella,13 hrs and 25 mins
Something About You,Riley Hart,7 hrs and 3 mins
